Population,Allele Count,Allele Number,Number of Homozygotes,Number of Heterozygotes,Homozygous Genotype Freq.,Heterozygous Genotype Freq.,Allele Frequency
Zartoshti,10,200,4,2,0.04,0.02,0.05
Azeri,7,200,3,1,0.03,0.01,0.035
Lur,6,200,2,2,0.02,0.02,0.03
Kurd,5,200,2,1,0.02,0.01,0.025
Mazani,5,200,2,1,0.02,0.01,0.025
Turkmen,3,200,0,3,0.0,0.03,0.015
Arab,3,204,1,1,0.0098,0.0098,0.01471
Persian,2,200,0,2,0.0,0.02,0.01
Persian Gulf Islander,1,200,0,1,0.0,0.01,0.005
Sistani,1,200,0,1,0.0,0.01,0.005
Baloch,0,202,0,0,0.0,0.0,0.0
Gilaki,0,198,0,0,0.0,0.0,0.0
Total,43,2404,14,15,0.0116472545757071,0.0124792013311148,0.01789
