Population,Allele Count,Allele Number,Number of Homozygotes,Number of Heterozygotes,Homozygous Genotype Freq.,Heterozygous Genotype Freq.,Allele Frequency
Lur,14,200,1,12,0.01,0.12,0.07
Mazani,12,200,2,8,0.02,0.08,0.06
Azeri,11,200,0,11,0.0,0.11,0.055
Zartoshti,11,200,0,11,0.0,0.11,0.055
Kurd,10,200,0,10,0.0,0.1,0.05
Persian,10,200,0,10,0.0,0.1,0.05
Turkmen,10,200,0,10,0.0,0.1,0.05
Gilaki,9,198,0,9,0.0,0.0909,0.04545
Sistani,9,200,1,7,0.01,0.07,0.045
Persian Gulf Islander,7,200,0,7,0.0,0.07,0.035
Baloch,7,202,0,7,0.0,0.0693,0.03465
Arab,6,204,0,6,0.0,0.0588,0.02941
Total,116,2404,4,108,0.0033277870216306,0.0898502495840266,0.04825
