Population,Allele Count,Allele Number,Number of Homozygotes,Number of Heterozygotes,Homozygous Genotype Freq.,Heterozygous Genotype Freq.,Allele Frequency
Persian Gulf Islander,164,200,70,24,0.7,0.24,0.82
Zartoshti,163,200,67,29,0.67,0.29,0.815
Mazani,161,200,63,35,0.63,0.35,0.805
Turkmen,160,200,64,32,0.64,0.32,0.8
Kurd,159,200,62,35,0.62,0.35,0.795
Arab,161,204,65,31,0.6373,0.3039,0.7892
Gilaki,155,198,58,39,0.5859,0.3939,0.7828
Azeri,156,200,63,30,0.63,0.3,0.78
Lur,154,200,60,34,0.6,0.34,0.77
Persian,154,200,58,38,0.58,0.38,0.77
Sistani,152,200,57,38,0.57,0.38,0.76
Baloch,145,202,51,43,0.505,0.4257,0.7178
Total,1884,2404,738,408,0.6139767054908486,0.3394342762063227,0.7837
