Population,Allele Count,Allele Number,Number of Homozygotes,Number of Heterozygotes,Homozygous Genotype Freq.,Heterozygous Genotype Freq.,Allele Frequency
Persian Gulf Islander,12,200,1,10,0.01,0.1,0.06
Gilaki,5,198,0,5,0.0,0.0505,0.02525
Mazani,5,200,0,5,0.0,0.05,0.025
Sistani,3,200,0,3,0.0,0.03,0.015
Turkmen,3,200,0,3,0.0,0.03,0.015
Lur,2,200,0,2,0.0,0.02,0.01
Persian,2,200,0,2,0.0,0.02,0.01
Azeri,1,200,0,1,0.0,0.01,0.005
Baloch,1,202,0,1,0.0,0.0099,0.00495
Arab,1,204,0,1,0.0,0.0098,0.004902
Kurd,0,200,0,0,0.0,0.0,0.0
Zartoshti,0,200,0,0,0.0,0.0,0.0
Total,35,2404,1,33,0.0008319467554076,0.0274542429284525,0.01456
