Population,Allele Count,Allele Number,Number of Homozygotes,Number of Heterozygotes,Homozygous Genotype Freq.,Heterozygous Genotype Freq.,Allele Frequency
Zartoshti,6,200,3,0,0.03,0.0,0.03
Sistani,4,200,2,0,0.02,0.0,0.02
Turkmen,4,200,2,0,0.02,0.0,0.02
Azeri,3,200,1,1,0.01,0.01,0.015
Persian,2,200,1,0,0.01,0.0,0.01
Baloch,2,202,1,0,0.0099,0.0,0.009901
Arab,2,204,1,0,0.0098,0.0,0.009804
Gilaki,0,198,0,0,0.0,0.0,0.0
Kurd,0,200,0,0,0.0,0.0,0.0
Lur,0,200,0,0,0.0,0.0,0.0
Mazani,0,200,0,0,0.0,0.0,0.0
Persian Gulf Islander,0,200,0,0,0.0,0.0,0.0
Total,23,2404,11,1,0.0091514143094841,0.0008319467554076,0.009567
