Population,Allele Count,Allele Number,Number of Homozygotes,Number of Heterozygotes,Homozygous Genotype Freq.,Heterozygous Genotype Freq.,Allele Frequency
Mazani,10,200,5,0,0.05,0.0,0.05
Zartoshti,8,200,4,0,0.04,0.0,0.04
Sistani,4,200,2,0,0.02,0.0,0.02
Baloch,4,202,2,0,0.0198,0.0,0.0198
Gilaki,2,198,1,0,0.0101,0.0,0.0101
Azeri,2,200,1,0,0.01,0.0,0.01
Kurd,2,200,1,0,0.01,0.0,0.01
Lur,2,200,1,0,0.01,0.0,0.01
Persian,2,200,1,0,0.01,0.0,0.01
Persian Gulf Islander,2,200,1,0,0.01,0.0,0.01
Turkmen,2,200,1,0,0.01,0.0,0.01
Arab,0,204,0,0,0.0,0.0,0.0
Total,40,2404,20,0,0.016638935108153,0.0,0.01664
