Population,Allele Count,Allele Number,Number of Homozygotes,Number of Heterozygotes,Homozygous Genotype Freq.,Heterozygous Genotype Freq.,Allele Frequency
Zartoshti,44,200,21,2,0.21,0.02,0.22
Sistani,32,200,15,2,0.15,0.02,0.16
Turkmen,27,200,11,5,0.11,0.05,0.135
Baloch,27,202,13,1,0.1287,0.0099,0.1337
Mazani,20,200,8,4,0.08,0.04,0.1
Lur,17,200,7,3,0.07,0.03,0.085
Azeri,16,200,7,2,0.07,0.02,0.08
Persian Gulf Islander,16,200,7,2,0.07,0.02,0.08
Arab,15,204,6,3,0.0588,0.0294,0.07353
Persian,12,200,6,0,0.06,0.0,0.06
Gilaki,10,198,3,4,0.0303,0.0404,0.05051
Kurd,5,200,2,1,0.02,0.01,0.025
Total,241,2404,106,29,0.0881863560732113,0.0241264559068219,0.1003
