Population,Allele Count,Allele Number,Number of Homozygotes,Number of Heterozygotes,Homozygous Genotype Freq.,Heterozygous Genotype Freq.,Allele Frequency
Azeri,17,200,8,1,0.08,0.01,0.085
Turkmen,14,200,7,0,0.07,0.0,0.07
Zartoshti,13,200,6,1,0.06,0.01,0.065
Mazani,11,200,5,1,0.05,0.01,0.055
Persian,11,200,5,1,0.05,0.01,0.055
Lur,10,200,5,0,0.05,0.0,0.05
Sistani,10,200,5,0,0.05,0.0,0.05
Arab,9,204,4,1,0.0392,0.0098,0.04412
Baloch,7,202,3,1,0.0297,0.0099,0.03465
Gilaki,5,198,2,1,0.0202,0.0101,0.02525
Persian Gulf Islander,5,200,1,3,0.01,0.03,0.025
Kurd,4,200,2,0,0.02,0.0,0.02
Total,116,2404,53,10,0.0440931780366056,0.0083194675540765,0.04825
