Population,Allele Count,Allele Number,Number of Homozygotes,Number of Heterozygotes,Homozygous Genotype Freq.,Heterozygous Genotype Freq.,Allele Frequency
Lur,14,200,7,0,0.07,0.0,0.07
Sistani,13,200,5,3,0.05,0.03,0.065
Zartoshti,11,200,4,3,0.04,0.03,0.055
Azeri,9,200,4,1,0.04,0.01,0.045
Kurd,9,200,4,1,0.04,0.01,0.045
Baloch,9,202,4,1,0.0396,0.0099,0.04455
Persian Gulf Islander,7,200,2,3,0.02,0.03,0.035
Gilaki,6,198,3,0,0.0303,0.0,0.0303
Mazani,5,200,2,1,0.02,0.01,0.025
Persian,4,200,2,0,0.02,0.0,0.02
Turkmen,4,200,2,0,0.02,0.0,0.02
Arab,2,204,1,0,0.0098,0.0,0.009804
Total,93,2404,40,13,0.0332778702163061,0.0108153078202995,0.03869
