Population,Allele Count,Allele Number,Number of Homozygotes,Number of Heterozygotes,Homozygous Genotype Freq.,Heterozygous Genotype Freq.,Allele Frequency
Kurd,7,200,0,7,0.0,0.07,0.035
Arab,6,204,0,6,0.0,0.0588,0.02941
Turkmen,5,200,1,3,0.01,0.03,0.025
Gilaki,4,198,0,4,0.0,0.0404,0.0202
Persian,4,200,0,4,0.0,0.04,0.02
Persian Gulf Islander,2,200,0,2,0.0,0.02,0.01
Baloch,2,202,0,2,0.0,0.0198,0.009901
Azeri,1,200,0,1,0.0,0.01,0.005
Lur,1,200,0,1,0.0,0.01,0.005
Mazani,1,200,0,1,0.0,0.01,0.005
Sistani,1,200,0,1,0.0,0.01,0.005
Zartoshti,0,200,0,0,0.0,0.0,0.0
Total,34,2404,1,32,0.0008319467554076,0.0266222961730449,0.01414
