Population,Allele Count,Allele Number,Number of Homozygotes,Number of Heterozygotes,Homozygous Genotype Freq.,Heterozygous Genotype Freq.,Allele Frequency
Persian Gulf Islander,44,200,0,44,0.0,0.44,0.22
Zartoshti,40,200,0,40,0.0,0.4,0.2
Kurd,38,200,0,38,0.0,0.38,0.19
Arab,34,204,0,34,0.0,0.3333,0.1667
Mazani,26,200,0,26,0.0,0.26,0.13
Baloch,24,202,0,24,0.0,0.2376,0.1188
Azeri,23,200,0,23,0.0,0.23,0.115
Sistani,22,200,0,22,0.0,0.22,0.11
Lur,21,200,0,21,0.0,0.21,0.105
Gilaki,20,198,0,20,0.0,0.202,0.101
Turkmen,19,200,0,19,0.0,0.19,0.095
Persian,18,200,0,18,0.0,0.18,0.09
Total,329,2404,0,329,0.0,0.2737104825291181,0.1369
