Population,Allele Count,Allele Number,Number of Homozygotes,Number of Heterozygotes,Homozygous Genotype Freq.,Heterozygous Genotype Freq.,Allele Frequency
Persian,107,200,16,75,0.16,0.75,0.535
Arab,103,204,12,79,0.1176,0.7745,0.5049
Persian Gulf Islander,99,200,13,73,0.13,0.73,0.495
Sistani,98,200,7,84,0.07,0.84,0.49
Baloch,97,202,9,79,0.0891,0.7822,0.4802
Mazani,96,200,7,82,0.07,0.82,0.48
Lur,95,200,8,79,0.08,0.79,0.475
Azeri,93,200,7,79,0.07,0.79,0.465
Turkmen,93,200,13,67,0.13,0.67,0.465
Kurd,91,200,7,77,0.07,0.77,0.455
Zartoshti,90,200,8,74,0.08,0.74,0.45
Gilaki,86,198,4,78,0.0404,0.7879,0.4343
Total,1148,2404,111,926,0.0923460898502495,0.7703826955074875,0.4775
