Population,Allele Count,Allele Number,Number of Homozygotes,Number of Heterozygotes,Homozygous Genotype Freq.,Heterozygous Genotype Freq.,Allele Frequency
Baloch,34,202,2,30,0.0198,0.297,0.1683
Sistani,29,200,0,29,0.0,0.29,0.145
Arab,26,204,0,26,0.0,0.2549,0.1275
Persian Gulf Islander,25,200,2,21,0.02,0.21,0.125
Persian,23,200,0,23,0.0,0.23,0.115
Azeri,22,200,1,20,0.01,0.2,0.11
Kurd,20,200,1,18,0.01,0.18,0.1
Lur,17,200,0,17,0.0,0.17,0.085
Mazani,16,200,0,16,0.0,0.16,0.08
Turkmen,15,200,2,11,0.02,0.11,0.075
Zartoshti,15,200,1,13,0.01,0.13,0.075
Gilaki,12,198,0,12,0.0,0.1212,0.06061
Total,254,2404,9,236,0.0074875207986688,0.1963394342762063,0.1057
