Population,Allele Count,Allele Number,Number of Homozygotes,Number of Heterozygotes,Homozygous Genotype Freq.,Heterozygous Genotype Freq.,Allele Frequency
Persian,101,200,39,23,0.39,0.23,0.505
Kurd,93,200,27,39,0.27,0.39,0.465
Mazani,93,200,31,31,0.31,0.31,0.465
Zartoshti,92,200,26,40,0.26,0.4,0.46
Lur,87,200,27,33,0.27,0.33,0.435
Gilaki,85,198,30,25,0.303,0.2525,0.4293
Persian Gulf Islander,75,200,21,33,0.21,0.33,0.375
Turkmen,75,200,27,21,0.27,0.21,0.375
Azeri,73,200,17,39,0.17,0.39,0.365
Baloch,65,202,11,43,0.1089,0.4257,0.3218
Sistani,63,200,15,33,0.15,0.33,0.315
Arab,61,204,14,33,0.1373,0.3235,0.299
Total,963,2404,285,393,0.2371048252911813,0.326955074875208,0.4006
