Population,Allele Count,Allele Number,Number of Homozygotes,Number of Heterozygotes,Homozygous Genotype Freq.,Heterozygous Genotype Freq.,Allele Frequency
Sistani,33,200,16,1,0.16,0.01,0.165
Baloch,31,202,13,5,0.1287,0.0495,0.1535
Mazani,22,200,11,0,0.11,0.0,0.11
Persian Gulf Islander,21,200,8,5,0.08,0.05,0.105
Zartoshti,17,200,8,1,0.08,0.01,0.085
Arab,14,204,7,0,0.0686,0.0,0.06863
Turkmen,11,200,5,1,0.05,0.01,0.055
Lur,10,200,4,2,0.04,0.02,0.05
Persian,7,200,3,1,0.03,0.01,0.035
Gilaki,6,198,3,0,0.0303,0.0,0.0303
Kurd,5,200,2,1,0.02,0.01,0.025
Azeri,4,200,2,0,0.02,0.0,0.02
Total,181,2404,82,17,0.0682196339434276,0.0141430948419301,0.07529
