Population,Allele Count,Allele Number,Number of Homozygotes,Number of Heterozygotes,Homozygous Genotype Freq.,Heterozygous Genotype Freq.,Allele Frequency
Persian Gulf Islander,37,200,14,9,0.14,0.09,0.185
Mazani,22,200,11,0,0.11,0.0,0.11
Persian,18,200,9,0,0.09,0.0,0.09
Baloch,17,202,7,3,0.0693,0.0297,0.08416
Arab,14,204,7,0,0.0686,0.0,0.06863
Sistani,13,200,5,3,0.05,0.03,0.065
Kurd,10,200,4,2,0.04,0.02,0.05
Azeri,8,200,4,0,0.04,0.0,0.04
Zartoshti,6,200,3,0,0.03,0.0,0.03
Lur,5,200,2,1,0.02,0.01,0.025
Turkmen,5,200,2,1,0.02,0.01,0.025
Gilaki,0,198,0,0,0.0,0.0,0.0
Total,155,2404,68,19,0.0565723793677204,0.0158069883527454,0.06448
