Population,Allele Count,Allele Number,Number of Homozygotes,Number of Heterozygotes,Homozygous Genotype Freq.,Heterozygous Genotype Freq.,Allele Frequency
Sistani,9,200,4,1,0.04,0.01,0.045
Persian,4,200,1,2,0.01,0.02,0.02
Mazani,3,200,1,1,0.01,0.01,0.015
Baloch,3,202,1,1,0.0099,0.0099,0.01485
Lur,2,200,1,0,0.01,0.0,0.01
Kurd,1,200,0,1,0.0,0.01,0.005
Persian Gulf Islander,1,200,0,1,0.0,0.01,0.005
Arab,0,204,0,0,0.0,0.0,0.0
Azeri,0,200,0,0,0.0,0.0,0.0
Gilaki,0,198,0,0,0.0,0.0,0.0
Turkmen,0,200,0,0,0.0,0.0,0.0
Zartoshti,0,200,0,0,0.0,0.0,0.0
Total,23,2404,8,7,0.0066555740432612,0.0058236272878535,0.009567
