Population,Allele Count,Allele Number,Number of Homozygotes,Number of Heterozygotes,Homozygous Genotype Freq.,Heterozygous Genotype Freq.,Allele Frequency
Sistani,62,200,31,0,0.31,0.0,0.31
Zartoshti,52,200,26,0,0.26,0.0,0.26
Mazani,38,200,19,0,0.19,0.0,0.19
Turkmen,32,200,16,0,0.16,0.0,0.16
Persian Gulf Islander,28,200,14,0,0.14,0.0,0.14
Lur,24,200,12,0,0.12,0.0,0.12
Baloch,22,202,11,0,0.1089,0.0,0.1089
Kurd,20,200,10,0,0.1,0.0,0.1
Azeri,18,200,9,0,0.09,0.0,0.09
Persian,18,200,9,0,0.09,0.0,0.09
Arab,16,204,8,0,0.0784,0.0,0.07843
Gilaki,8,198,4,0,0.0404,0.0,0.0404
Total,338,2404,169,0,0.1405990016638935,0.0,0.1406
