Population,Allele Count,Allele Number,Number of Homozygotes,Number of Heterozygotes,Homozygous Genotype Freq.,Heterozygous Genotype Freq.,Allele Frequency
Sistani,6,200,3,0,0.03,0.0,0.03
Persian Gulf Islander,3,200,1,1,0.01,0.01,0.015
Baloch,3,202,1,1,0.0099,0.0099,0.01485
Arab,0,204,0,0,0.0,0.0,0.0
Azeri,0,200,0,0,0.0,0.0,0.0
Gilaki,0,198,0,0,0.0,0.0,0.0
Kurd,0,200,0,0,0.0,0.0,0.0
Lur,0,200,0,0,0.0,0.0,0.0
Mazani,0,200,0,0,0.0,0.0,0.0
Persian,0,200,0,0,0.0,0.0,0.0
Turkmen,0,199,0,0,0.0,0.0,0.0
Zartoshti,0,199,0,0,0.0,0.0,0.0
Total,12,2402,5,2,0.0041631973355537,0.0016652789342214,0.004996
