Population,Allele Count,Allele Number,Number of Homozygotes,Number of Heterozygotes,Homozygous Genotype Freq.,Heterozygous Genotype Freq.,Allele Frequency
Zartoshti,4,200,0,4,0.0,0.04,0.02
Turkmen,2,200,0,2,0.0,0.02,0.01
Arab,0,204,0,0,0.0,0.0,0.0
Azeri,0,200,0,0,0.0,0.0,0.0
Baloch,0,202,0,0,0.0,0.0,0.0
Gilaki,0,198,0,0,0.0,0.0,0.0
Kurd,0,200,0,0,0.0,0.0,0.0
Lur,0,200,0,0,0.0,0.0,0.0
Mazani,0,200,0,0,0.0,0.0,0.0
Persian,0,200,0,0,0.0,0.0,0.0
Persian Gulf Islander,0,200,0,0,0.0,0.0,0.0
Sistani,0,200,0,0,0.0,0.0,0.0
Total,6,2404,0,6,0.0,0.0049916805324459,0.002496
