,Population,Allele Count,Allele Number,Number of Homozygotes,Number of Heterozygotes,Homozygous Genotype Freq.,Heterozygous Genotype Freq.,Allele Frequency
0,Zartoshti,146,200,73,0,0.73,0.0,0.73
1,Mazani,142,200,71,0,0.71,0.0,0.71
2,Baloch,124,202,62,0,0.6139,0.0,0.6139
3,Persian Gulf Islander,118,200,59,0,0.59,0.0,0.59
4,Persian,94,200,47,0,0.47,0.0,0.47
5,Sistani,94,200,47,0,0.47,0.0,0.47
6,Azeri,90,200,45,0,0.45,0.0,0.45
7,Lur,88,200,44,0,0.44,0.0,0.44
8,Kurd,86,200,43,0,0.43,0.0,0.43
9,Arab,82,204,41,0,0.402,0.0,0.402
10,Turkmen,61,200,30,1,0.3,0.01,0.305
11,Gilaki,54,198,27,0,0.2727,0.0,0.2727
12,Total,1179,2404,589,1,0.4900166389351081,0.0008319467554076,0.4904
